round,method,citation_conflict,reasoning_conflict,verdict_conflict,rule_alignment_distance,total_conflict
40,FedLoRA,0.45523645268184637,0.30725014748453583,0.3039736365092302,0.41367286698834865,0.36471213994079965
41,FedLoRA,0.4536890450208454,0.30170617632127705,0.30351862557707676,0.4079407636868456,0.3614019232832328
42,FedLoRA,0.46749731126291005,0.29471540546684044,0.29978584731383295,0.40233205733092764,0.36070182275042345
43,FedLoRA,0.4457391108547107,0.2931586962664424,0.30424959438927063,0.412854516383865,0.3580156884677011
44,FedLoRA,0.44319195323422184,0.2997920075913173,0.3072886366901131,0.40057316526911013,0.35767238281230096
45,FedLoRA,0.442510660061519,0.2892510104687495,0.28817635372065553,0.39372203513516163,0.34819146361320086
46,FedLoRA,0.4348092530207989,0.2928543087626931,0.29538805883410113,0.39562452533257636,0.3495305256590482
47,FedLoRA,0.4448938939130268,0.2963066216736447,0.2920316432071683,0.3875668884720827,0.3506367484765587
48,FedLoRA,0.44493955627946746,0.29362641796970496,0.2947554847175984,0.3866259066791552,0.350336866976009
49,FedLoRA,0.4272346224038571,0.29431865273414565,0.2857223322814145,0.39005204820343686,0.34454524413224896
50,FedLoRA,0.41800399432382307,0.28073373377758887,0.2879527528918807,0.3830534765985354,0.3373200022569097
51,FedLoRA,0.4323238160861005,0.27358498404194703,0.28170682939829045,0.38129212356002107,0.3368415812956861
52,FedLoRA,0.42890458965879713,0.2838322304416183,0.2886240871890584,0.38963239163874736,0.34245831667219884
53,FedLoRA,0.4241767217375473,0.27720836983753566,0.2838885852776265,0.38334458716186925,0.336847755137428
54,FedLoRA,0.42320828011542977,0.27976425083528733,0.28085211833107787,0.380837007319081,0.3361117763260293
55,FedLoRA,0.4081161320024965,0.27078447885376106,0.2817932343585817,0.3772612134608426,0.32916492793856644
56,FedLoRA,0.4093917096087058,0.27561707780889916,0.27700806717473275,0.37484996507983004,0.3292550605544954
57,FedLoRA,0.3992084754088014,0.27127372156380597,0.2687848153494611,0.377541144633357,0.3238886680853788
58,FedLoRA,0.3961433525843355,0.26827293030426463,0.2778611198500094,0.36800704969489495,0.3225844071388446
59,FedLoRA,0.40770659940264053,0.2648010426230293,0.2746673417696047,0.3752460685326284,0.32508301178649573
60,FedLoRA,0.39498435621554434,0.2619977765244042,0.2708139574320108,0.35909222992632694,0.3168673573544754
61,FedLoRA,0.409917011401596,0.2588673387625401,0.2748820530473929,0.3604716766268509,0.3209543030663794
62,FedLoRA,0.39393603273302796,0.25670765868936163,0.27443755574776635,0.35276826194660377,0.3146593471163278
63,FedLoRA,0.3869271227405042,0.25920173718015116,0.2612857604816095,0.35587337575127603,0.310988417109829
64,FedLoRA,0.39286277960572397,0.24812198973935198,0.2612582055634039,0.3581319361021096,0.3095932304345095
65,FedLoRA,0.3962156470508968,0.2595659289881903,0.2713306120195126,0.36075979610061687,0.3169083026841828
66,FedLoRA,0.3856840042121307,0.24649667144239457,0.2691331077149961,0.3481669859951349,0.30728667661352704
67,FedLoRA,0.37284976992191626,0.2510527960310612,0.2568054798212567,0.3495063031234993,0.30263091186981145
68,FedLoRA,0.3797900957299761,0.2426292123975495,0.2530663026714539,0.34569585261683783,0.3001420338429899
69,FedLoRA,0.38325486187958296,0.23974431707238703,0.2542681092828793,0.3418268683389696,0.2996694115801256
